"IL.1α","IL.1β","IL.2","IL.3","IL.4","IL.5","IL.6","IL.9","IL.10","IL.12p40","IL.12p70","IL.13","IL.17a","Eotaxin","GCSF","GMCSF","IFN.γ","KC","MCP.1","MIP.1a","MIP.1b","RANTES","TNFα","IL.15","IL.18","Basic.FGF","LIF","MCSF","MIG","MIP.2α","PDGF.BB","VEGF"
13.78,34.26,98.95,3.57,22.83,0.001,3.3,35.05,10.55,5.36,48.18,18.69,8.4,0.001,4.51,116.22,14.47,12.99,18.28,102.82,158.28,142.92,895.88,25.12,65.53,35.27,4.31,2.55,1144.44,64.69,91.65,27.74
31.97,137.42,8.98,15.11,5.29,0.001,337.08,60.77,127.49,127.59,147.96,93.89,4.53,620.46,32.67,224.55,14.79,54.13,205.12,2025.67,1234.88,359.37,1005.48,37.68,68.64,30.89,4.31,3.22,311.05,197.17,126.08,112.12
18.33,48.77,0.001,3.86,1.73,0.001,10.01,24.07,13.25,4.41,28.59,23.88,1.26,0.001,9.75,73.03,5.93,38.69,57.09,149.87,145.83,412.67,794.47,29.43,33.07,28.6,2.45,2.55,160.89,170.8,50.91,25.03
43.54,146.54,0.001,75.71,5.86,0.001,32.69,54.67,790.45,974.99,395.43,69.25,7.31,42.04,194.24,169.38,14.95,199.15,5679.95,897.45,2438,264.74,2151.35,424.18,52.9,50.99,44.35,3.73,1582.58,1273.22,2672.86,62.39
9.24,3.41,0.001,1.51,1.38,0.001,2.68,11.43,6.78,2.46,25.88,18.69,1.26,0.001,3.89,94.02,7.79,24.96,0.001,62.19,67.04,216.95,781.04,20.65,24.99,37.38,2.07,2.21,86.21,126.61,11.68,20.96
10.33,13.83,0.001,0.92,1.02,0.001,1.39,36.79,6.78,4.88,31.32,8.12,0.94,0.001,1.93,80.64,5.59,15.67,0.001,28.16,32.24,64.72,956.39,25.12,52.47,30.89,2.07,1.7,292.23,42.57,81.08,26.38
15.35,0.001,47.35,2.41,10.79,1.3,9.9,0.001,6.78,5.51,38.53,6.89,5.24,0.001,3.52,18.47,11.59,10.81,21.99,91.87,232.7,177.44,575.82,0.001,35.53,84.08,6.32,3.59,1621.97,104.44,8.19,17.56
35.51,87.81,9.19,11.25,4.89,1.06,169.1,85.25,62.34,258.75,100.83,52.55,2.8,309.02,34.09,170,13.39,105.22,134.77,1047.36,1729.6,406.26,1195.39,42.73,127.38,57.62,5.03,6.24,249.94,580.06,437.62,67.34
61.21,78.31,1.12,6.01,2.9,0.82,68.44,0.001,25.75,15.45,69.37,42.09,1.63,187.74,32.5,126.97,10.29,135.13,89.59,447.55,696.67,1478.45,748.81,26.19,50.92,78.6,6.64,5.57,375.6,741.15,244.61,22.01
81.7,146.65,4.05,74.63,18.28,1.3,87.17,0.001,706.19,469.94,306.93,60.94,5.33,166.33,149.18,167.7,14.55,357.02,3846.28,1202.04,3052.73,590.74,1346.39,346.12,23.68,93.58,39.85,6.91,1392.21,3148.11,3086.71,49.72
46.85,34.37,0.001,3.04,2.2,0.44,17.2,0.001,8.41,4.24,49.86,10.98,0.96,0.001,12.57,79.97,5.43,72.79,40.34,180.72,175.51,163.78,720.24,16.88,22.6,97.62,4.06,4.58,179.9,488.32,108.35,16.45
22.02,84.66,4.59,3.15,2.27,0.32,6.72,176.05,13.12,4.56,63.33,2.83,1.47,2.26,7.55,145.87,11.97,13.76,28.3,63.08,41.85,60.54,1455.04,46.61,141,97.62,3.42,7.25,162.65,101.16,437.62,22.01
23.83,41.55,52.83,4.23,22.21,4.88,8.15,111.97,13.12,3.82,66.77,15.09,2.47,0.001,6.7,112,11.78,9.4,46.14,191.08,231.27,116.46,1035.84,16.88,31.25,40.19,5.99,4.25,806.09,97.23,329.94,22.01
